date,equity,cash,pos,qty,bucket_next,prev_reg_score,prev_reg_slope,prev_reg_above_ma,th_buy_today,th_sell_today,th_buy_bull,th_buy_side,th_buy_bear,th_sell_bull,th_sell_side,th_sell_bear,bucket_today,reg_score,reg_slope,reg_above_ma
2018-10-01,100000.0,100000.0,0,0.0,bull,0.03366435812406658,0.0005983820766405114,0.021246141262763363,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-02,100000.0,100000.0,0,0.0,bull,0.035626041610878914,0.00061144858091093,0.022527797245430747,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-03,100000.0,100000.0,0,0.0,bull,0.03118935005103936,0.000632585263198155,0.019527729507629932,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-04,100000.0,100000.0,0,0.0,side,0.03199006756464697,0.0006669322750831934,0.01999284715959826,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-05,100000.0,100000.0,0,0.0,side,0.002580212577784114,0.0006307739559763791,0.0004585938065699846,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-08,100000.0,100000.0,0,0.0,side,-0.016036878609979086,0.0005469104289205633,-0.01178507326449385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-09,100000.0,100000.0,0,0.0,side,-0.025720918468287488,0.0004129615076804106,-0.017973201994219146,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-10,100000.0,100000.0,0,0.0,bear,-0.02205616560011253,0.00028811509073517494,-0.01528034058154537,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-11,100000.0,100000.0,0,0.0,bear,-0.08707986737506618,2.3469960045060626e-05,-0.058100184836800906,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-12,100000.0,100000.0,0,0.0,bear,-0.1044937160985574,-0.000323853944621847,-0.06901476950979457,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-15,100000.0,100000.0,0,0.0,bear,-0.06547969637066846,-0.0005477493635970788,-0.042557632186584815,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-16,100000.0,100000.0,0,0.0,bear,-0.08242095888671115,-0.0008095150046644983,-0.05332827591514511,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-17,100000.0,100000.0,0,0.0,bear,-0.040935829454840346,-0.0009616322979308305,-0.025367288374031904,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-18,100000.0,100000.0,0,0.0,bear,-0.04003440820609678,-0.0010955972665261415,-0.024498410937678905,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-19,100000.0,100000.0,0,0.0,bear,-0.07316920446195364,-0.0012972547473333379,-0.046184960146635756,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-22,100000.0,100000.0,0,0.0,bear,-0.07369656642456514,-0.001499472495404353,-0.04613209929223472,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-23,100000.0,100000.0,0,0.0,bear,-0.0657065747361509,-0.001639093500643716,-0.0405261961561465,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-24,100000.0,100000.0,0,0.0,bear,-0.07020188124046689,-0.0017441731001893897,-0.04331290795993248,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-25,100000.0,100000.0,0,0.0,bear,-0.13421579841829392,-0.0020033960018222994,-0.08547040694188468,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,
2018-10-26,100000.0,100000.0,0,0.0,bear,-0.08568413951276427,-0.0020733851080595805,-0.052975989459057016,2.349999999999999,0.3,0.3,0.3,2.349999999999999,0.3,0.3,0.3,,,,
2018-10-29,100000.0,100000.0,0,0.0,bear,-0.12067053638894845,-0.002229058635694401,-0.07598890698791017,2.4499999999999993,0.3,0.3,0.3,2.4499999999999993,0.3,0.3,0.3,,,,
2018-10-30,100000.0,100000.0,0,0.0,bear,-0.1473054033780208,-0.0024348530297668767,-0.09333389619248011,2.4499999999999993,0.3,0.3,0.3,2.4499999999999993,0.3,0.3,0.3,,,,
2018-10-31,100000.0,100000.0,0,0.0,bear,-0.12318546877844436,-0.002572212472959956,-0.07697922090637632,1.4999999999999996,-0.5,0.3,0.3,1.4999999999999996,0.3,0.3,-0.5,,,,
2018-11-01,100000.0,100000.0,0,0.0,bear,-0.08922110787492633,-0.002653281134125519,-0.054174176315033185,1.0999999999999996,-0.5,0.3,0.3,1.0999999999999996,0.3,0.3,-0.5,,,,
2018-11-02,100000.0,100000.0,0,0.0,bear,-0.06922433752187145,-0.002706461291272031,-0.04073663576537023,1.5499999999999994,-0.5,0.3,0.3,1.5499999999999994,0.3,0.3,-0.5,,,,
