klu_idx,timestamp,klu_open,klu_high,klu_low,klu_close,klu_volume,bsp_type,bsp_types,is_buy,direction,is_segbsp,feat_divergence_rate,feat_bsp1_bi_amp,feat_bsp1_bi_klu_cnt,feat_bsp1_bi_amp_rate,feat_zs_cnt,feat_macd_value,feat_macd_dea,feat_macd_diff,feat_ppo,feat_rsi,feat_kdj_k,feat_kdj_d,feat_kdj_j,feat_volume,feat_bsp_bi_amp,feat_break_bi_amp,feat_break_bi_klu_cnt,feat_break_bi_amp_rate,feat_bi_amp,feat_bi_klu_cnt,feat_bi_amp_rate,feat_level,feat_bsp_type,macd_value,macd_dif,macd_dea,rsi,kdj_k,kdj_d,kdj_j,dmi_plus,dmi_minus,dmi_adx,price_change_pct,high_low_spread_pct,upper_shadow,lower_shadow,body_size,is_bullish_candle,snapshot_first_seen,snapshot_last_seen,profit_target_pct,profit_target_distance,has_profit_target,exit_type,exit_klu_idx,exit_price,feat_bsp2_retrace_rate,feat_bsp2_break_bi_amp,feat_bsp2_break_bi_bi_klu_cnt,feat_bsp2_break_bi_amp_rate,feat_bsp2_bi_amp,feat_bsp2_bi_klu_cnt,feat_bsp2_bi_amp_rate,feat_bsp3_zs_height,feat_bsp3_bi_amp,feat_bsp3_bi_klu_cnt,feat_bsp3_bi_amp_rate,feat_bsp2s_retrace_rate,feat_bsp2s_break_bi_amp,feat_bsp2s_break_bi_klu_cnt,feat_bsp2s_break_bi_amp_rate,feat_bsp2s_bi_amp,feat_bsp2s_bi_klu_cnt,feat_bsp2s_bi_amp_rate,feat_bsp2s_lv,direction_encoded
39.0,2022/05/02 07:20,412.68,413.0,412.51,412.82,78753.0,1,1,1,buy,False,1.0936796565400344,1.6899999999999977,10.0,0.004080154514727179,1.0,-0.2406363222031215,-0.08622070627793203,-0.20653886737949279,-0.0004994378306407867,32.840738935296585,14.241488908263772,17.84201839280793,7.0404299391754535,78753.0,1.6899999999999977,1.6899999999999977,10.0,0.004080154514727179,1.6899999999999977,10.0,0.004080154514727179,1.0,1.0,-0.2406363222031215,-0.20653886737949279,-0.08622070627793203,32.840738935296585,14.241488908263772,17.84201839280793,7.0404299391754535,10.098522167488154,42.1182266009841,15.605464797880765,0.03392459048172588,0.11878499915153792,0.18000000000000682,0.17000000000001592,0.13999999999998636,1,40.0,41.0,1.4170825056925593,238.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
41.0,2022/05/02 07:30,412.55,412.55,412.15,412.15,33662.0,1,1,1,buy,False,1.4104584224318755,2.0500000000000114,12.0,0.004949299855142471,1.0,-0.3103354125358545,-0.15632550281704477,-0.311493209084972,-0.0007535256127906732,25.030729717026816,9.608239150485224,14.335278719349226,0.1541600127572167,33662.0,2.0500000000000114,2.0500000000000114,12.0,0.004949299855142471,2.0500000000000114,12.0,0.004949299855142471,1.0,1.0,-0.3103354125358545,-0.311493209084972,-0.15632550281704477,25.030729717026816,9.608239150485224,14.335278719349226,0.1541600127572167,7.575757575756736,45.88744588744538,22.953136961342558,-0.09695794449158504,0.09705204415868837,0.0,0.0,0.4000000000000341,0,42.0,42.0,1.581948319786495,236.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
42.0,2022/05/02 07:35,412.15,412.23,411.84,411.91,28546.0,1,1,1,buy,False,1.6332319120833538,2.3600000000000136,13.0,0.005697730564944504,1.0,-0.3593510387418674,-0.2012443826597782,-0.3809199020307119,-0.0009217169930319971,22.900323272529704,7.653264602998167,12.107940680565537,-1.2560875521365737,28546.0,2.3600000000000136,2.3600000000000136,13.0,0.005697730564944504,2.3600000000000136,13.0,0.005697730564944504,1.0,1.0,-0.3593510387418674,-0.3809199020307119,-0.2012443826597782,22.900323272529704,7.653264602998167,12.107940680565537,-1.2560875521365737,7.35294117646971,48.31932773109162,26.569691868416637,-0.05823122649519648,0.09469696969698019,0.08000000000004093,0.07000000000005002,0.23999999999995225,0,43.0,43.0,1.641135199436768,235.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
43.0,2022/05/02 07:40,411.91,412.0,411.79,411.86,15895.0,1,1,1,buy,False,1.6995728088615627,2.409999999999968,14.0,0.005818445195557625,1.0,-0.3739476615435285,-0.24798784035271923,-0.4349616711244835,-0.0010527490358984099,22.471222688094144,6.349948238005783,10.18860986637895,-1.327375018740554,15895.0,2.409999999999968,2.409999999999968,14.0,0.005818445195557625,2.409999999999968,14.0,0.005818445195557625,1.0,1.0,-0.3739476615435285,-0.4349616711244835,-0.24798784035271923,22.471222688094144,6.349948238005783,10.18860986637895,-1.327375018740554,4.0511727078889805,50.10660980810043,30.746097454868316,-0.0121385739603339,0.050996867335287285,0.08999999999997499,0.06999999999999318,0.05000000000001137,0,44.0,44.0,1.6534744816199685,234.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
44.0,2022/05/02 07:45,411.88,411.88,411.4,411.5,18162.0,1,1,1,buy,False,1.8403431687811989,2.8000000000000114,15.0,0.006760019314340926,1.0,-0.4049205899359576,-0.29860291409471396,-0.5010632090626927,-0.001213098964698565,19.620558624380934,5.783686422236741,8.72030205166488,-0.08954483661953816,18162.0,2.8000000000000114,2.8000000000000114,15.0,0.006760019314340926,2.8000000000000114,15.0,0.006760019314340926,1.0,1.0,-0.4049205899359576,-0.5010632090626927,-0.29860291409471396,19.620558624380934,5.783686422236741,8.72030205166488,-0.08954483661953816,1.612903225806082,55.241935483869476,35.28753628914579,-0.09225988151888789,0.11667476908119062,0.0,0.10000000000002274,0.37999999999999545,0,45.0,45.0,1.7424058323207814,233.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
45.0,2022/05/02 07:50,411.54,411.76,411.17,411.17,46551.0,1,1,1,buy,False,1.998787665866915,3.0299999999999727,16.0,0.007315306615161692,1.0,-0.4397822615635072,-0.3535756967901523,-0.5734668275719059,-0.0013888584843341763,17.43690003805081,3.855790948157827,7.098798350495862,-2.630223856518242,46551.0,3.0299999999999727,3.0299999999999727,16.0,0.007315306615161692,3.0299999999999727,16.0,0.007315306615161692,1.0,1.0,-0.4397822615635072,-0.5734668275719059,-0.3535756967901523,17.43690003805081,3.855790948157827,7.098798350495862,-2.630223856518242,1.5936254980076028,52.788844621511885,39.4912261355779,-0.08990620595810968,0.14349295911666096,0.21999999999997044,0.0,0.37000000000000455,0,46.0,46.0,1.824063039618649,232.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
46.0,2022/05/02 07:55,411.14,411.17,410.49,410.7,76085.0,1,1,1,buy,False,2.236661842083412,3.7099999999999795,17.0,0.008957025591501641,1.0,-0.4921204088167196,-0.41509074789224226,-0.6611509523006021,-0.0016018511722643823,14.894379918251886,5.326432810582679,6.508009837191468,2.963278757365101,76085.0,3.7099999999999795,3.7099999999999795,17.0,0.008957025591501641,3.7099999999999795,17.0,0.008957025591501641,1.0,1.0,-0.4921204088167196,-0.6611509523006021,-0.41509074789224226,14.894379918251886,5.326432810582679,6.508009837191468,2.963278757365101,1.4492753623185122,59.42028985507033,43.47314535718634,-0.10701950673736385,0.16565567979731707,0.03000000000002956,0.20999999999997954,0.4399999999999977,0,47.0,57.0,1.940589237886542,231.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
57.0,2022/05/02 08:50,410.54,411.23,410.45,411.2,58187.0,1,1,1,buy,False,2.236661842083412,3.75,28.0,0.009053597295992274,1.0,0.08716618003910548,-0.597660704811375,-0.5540776147918223,-0.0013455112929187509,40.503296296100835,25.796046614865787,17.276696599374752,42.83474664584786,58187.0,3.75,3.75,28.0,0.009053597295992274,3.75,28.0,0.009053597295992274,1.0,1.0,0.08716618003910548,-0.5540776147918223,-0.597660704811375,40.503296296100835,25.796046614865787,17.276696599374752,42.83474664584786,41.28521126760536,17.253521126760777,35.48602469448125,0.16076387197349057,0.1900353270800413,0.03000000000002956,0.09000000000003183,0.6599999999999682,1,58.0,87.0,1.8166342412451428,220.0,1,best_24h,277.0,418.67,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,0
77.0,2022/05/02 10:30,414.44,415.92,414.42,415.15,1678717.0,1,1,0,sell,False,3.088889575950085,5.470000000000027,21.0,0.013326836399074254,1.0,0.7180646324151713,0.11396111962628534,0.472993435833871,0.0011470972199600544,65.61667067179553,80.62687501532602,73.54418699951904,94.79225104693998,1678717.0,5.470000000000027,5.470000000000027,21.0,0.013326836399074254,5.470000000000027,21.0,0.013326836399074254,1.0,1.0,0.7180646324151713,0.472993435833871,0.11396111962628534,65.61667067179553,80.62687501532602,73.54418699951904,94.79225104693998,26.14461870878802,16.643445218492722,21.74358338201777,0.1713155100858941,0.36195164326046037,0.7700000000000387,0.01999999999998181,0.7099999999999795,1,236.0,1009.0,2.3240756353125334,50.0,1,best_24h,127.0,405.5016,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,1
77.0,2022/05/02 10:30,414.44,415.92,414.42,415.15,1678717.0,1p,1p,0,sell,False,5.522003148591734,5.470000000000027,21.0,0.013326836399074254,0.0,0.719427476653909,0.11190783007190488,0.4716215683988594,0.001143766428857627,65.58999770043894,80.62687505270708,73.54418763004078,94.79224989803967,1678717.0,5.470000000000027,5.470000000000027,21.0,0.013326836399074254,5.470000000000027,0.0,0.0,1.0,1.0,0.719427476653909,0.4716215683988594,0.11190783007190488,65.58999770043894,80.62687505270708,73.54418763004078,94.79224989803967,26.14461870878802,16.643445218492722,21.32713018239368,0.1713155100858941,0.36195164326046037,0.7700000000000387,0.01999999999998181,0.7099999999999795,1,1010.0,1023.0,2.3240756353125334,50.0,1,best_24h,127.0,405.5016,0.5828512062623303,5.953974074074083,26.51851851851852,0.014823223144982354,3.160498941798944,16.756613756613756,0.007861818143887792,0.005226352116804948,3.728054411764699,16.573529411764707,0.009509721241594585,0.5374651068470795,8.377936065573776,39.4207650273224,0.020798118228585648,3.704741530054652,22.721311475409838,0.00911713288028225,1.9344262295081966,1
