side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx,exec_idx,exec_ts
buy,5556,67.56,1480.1657785671994,0.0,5m BUY signal,2012-04-09 05:50:00,1.9611562490463257,0.3,FREE,,,,5557,2012-04-09 06:35:00
sell,5789,66.29,1480.1657785671994,0.0,5m SELL signal,2012-04-10 14:10:00,0.5601232647895813,0.3,FREE,-1879.8105387803373,67.56,5556.0,5790,2012-04-10 14:15:00
buy,5839,66.3,1479.9425258102513,0.0,5m BUY signal,2012-04-10 18:50:00,2.626934051513672,0.3,FREE,,,,5840,2012-04-10 18:55:00
sell,5844,66.37,1479.9425258102513,0.0,5m SELL signal,2012-04-10 19:15:00,0.5729862451553345,0.3,FREE,103.59597680672853,66.3,5839.0,5845,2012-04-10 19:25:00
buy,5942,66.5,1477.0494050831037,0.0,5m BUY signal,2012-04-11 14:10:00,1.7261971235275269,0.3,FREE,,,,5943,2012-04-11 14:15:00
sell,5964,66.45,1477.0494050831037,0.0,5m SELL signal,2012-04-11 16:00:00,0.32353097200393677,0.3,FREE,-73.85247025415099,66.5,5942.0,5965,2012-04-11 16:05:00
buy,6013,66.68,1471.9546035958642,0.0,5m BUY signal,2012-04-12 08:15:00,2.316288709640503,2.0499999999999994,FREE,,,,6014,2012-04-12 08:20:00
sell,6047,67.16,1471.9546035958642,0.0,5m SELL signal,2012-04-12 11:05:00,0.7031031847000122,0.6999999999999997,FREE,706.5382097259998,66.68,6013.0,6048,2012-04-12 11:10:00
buy,6081,67.01,1475.2495325697394,0.0,5m BUY signal,2012-04-12 13:55:00,2.063744306564331,2.0499999999999994,FREE,,,,6082,2012-04-12 14:00:00
sell,6091,67.2,1475.2495325697394,0.0,5m SELL signal,2012-04-12 14:45:00,0.7610876560211182,0.6999999999999997,FREE,280.2974111882471,67.01,6081.0,6092,2012-04-12 14:50:00
buy,6191,66.245,1496.5169988480109,0.0,5m BUY signal,2012-04-13 10:45:00,2.7554123401641846,1.8499999999999996,FREE,,,,6192,2012-04-13 10:50:00
sell,6473,66.18,1496.5169988480109,0.0,5m SELL signal,2012-04-17 10:10:00,2.157017946243286,-0.5,FREE,-97.2736049251173,66.245,6191.0,6474,2012-04-17 10:15:00
buy,6796,66.9099,1480.1919444471055,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-04-19 11:05:00,1.4547680616378784,1.2499999999999996,FORCE_BUY,,,,6797,2012-04-19 11:10:00
sell,7057,65.12,1480.1919444471055,0.0,5m SELL signal,2012-04-23 08:00:00,2.168327569961548,-0.5,FREE,-2649.3955613658572,66.9099,6796.0,7058,2012-04-23 08:05:00
buy,7089,64.62,1491.64499260903,0.0,5m BUY signal,2012-04-23 10:40:00,2.066418409347534,2.0499999999999994,FREE,,,,7090,2012-04-23 10:45:00
sell,7111,64.9992,1491.64499260903,0.0,5m SELL signal,2012-04-23 12:30:00,1.4302457571029663,-0.5,FREE,565.6317811973402,64.62,7089.0,7112,2012-04-23 12:35:00
buy,7130,64.89,1494.1552042470776,0.0,5m BUY signal,2012-04-23 14:05:00,2.1711771488189697,2.0499999999999994,FREE,,,,7131,2012-04-23 14:10:00
sell,7135,65.125,1494.1552042470776,0.0,5m SELL signal,2012-04-23 14:30:00,1.643543004989624,-0.5,FREE,351.12647299806235,64.89,7130.0,7136,2012-04-23 14:35:00
buy,7140,64.96,1497.9503952677176,0.0,5m BUY signal,2012-04-23 14:55:00,2.173046588897705,2.0499999999999994,FREE,,,,7141,2012-04-23 15:00:00
sell,7147,65.1,1497.9503952677176,0.0,5m SELL signal,2012-04-23 15:30:00,1.6286693811416626,-0.5,FREE,209.7130553374813,64.96,7140.0,7148,2012-04-23 15:35:00
buy,7206,65.15,1496.8007786942196,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-04-24 08:20:00,2.7923991680145264,-0.5,FORCE_BUY,,,,7207,2012-04-24 08:25:00
sell,7344,65.79,1496.8007786942196,0.0,5m SELL signal,2012-04-25 04:00:00,0.9862901568412781,-0.5,FREE,957.9524983643014,65.15,7206.0,7345,2012-04-25 04:05:00
buy,7540,66.32,1484.8390113132198,0.0,5m BUY signal,2012-04-26 08:30:00,1.4291455745697021,-0.5,FREE,,,,7541,2012-04-26 08:35:00
sell,7550,66.38,1484.8390113132198,0.0,5m SELL signal,2012-04-26 09:20:00,2.128678798675537,2.0999999999999996,FREE,89.09034067879657,66.32,7540.0,7551,2012-04-26 09:25:00
buy,7568,66.46,1483.0516637221115,0.0,5m BUY signal,2012-04-26 10:50:00,1.0675164461135864,-0.5,FREE,,,,7569,2012-04-26 10:55:00
sell,7601,66.7,1483.0516637221115,0.0,5m SELL signal,2012-04-26 13:35:00,2.912073850631714,2.0999999999999996,FREE,355.93239929332026,66.46,7568.0,7602,2012-04-26 13:40:00
buy,7765,67.28,1470.266735586576,0.0,5m BUY signal,2012-04-27 14:15:00,0.3323170840740204,-0.5,FREE,,,,7766,2012-04-27 14:20:00
sell,7776,67.35,1470.266735586576,0.0,5m SELL signal,2012-04-27 15:10:00,3.234571933746338,2.0999999999999996,FREE,102.91867149105029,67.28,7765.0,7777,2012-04-27 15:15:00
buy,7783,67.2,1473.54858097851,0.0,5m BUY signal,2012-04-27 15:45:00,0.3995368480682373,-0.5,FREE,,,,7784,2012-04-27 15:50:00
sell,7792,67.28,1473.54858097851,0.0,5m SELL signal,2012-04-27 16:30:00,3.2605700492858887,2.0999999999999996,FREE,117.88388647827828,67.2,7783.0,7793,2012-04-27 16:40:00
buy,7812,67.15,1476.4013183653633,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-04-30 05:15:00,0.6381833553314209,-0.5,FORCE_BUY,,,,7813,2012-04-30 06:30:00
sell,8165,66.96,1476.4013183653633,0.0,5m SELL signal,2012-05-02 12:35:00,3.024228572845459,-0.5,FREE,-280.51625048943663,67.15,7812.0,8166,2012-05-02 12:40:00
buy,8175,66.81,1479.7160945628605,0.0,5m BUY signal,2012-05-02 13:25:00,3.095775604248047,-0.5,FREE,,,,8176,2012-05-02 13:30:00
sell,8184,67.01,1479.7160945628605,0.0,5m SELL signal,2012-05-02 14:10:00,2.9922008514404297,-0.5,FREE,295.9432189125763,66.81,8175.0,8185,2012-05-02 14:15:00
buy,8191,66.965,1480.7104531719149,0.0,5m BUY signal,2012-05-02 14:45:00,3.1144487857818604,-0.5,FREE,,,,8192,2012-05-02 14:50:00
sell,8202,67.05,1480.7104531719149,0.0,5m SELL signal,2012-05-02 15:40:00,3.2038211822509766,-0.5,FREE,125.8603885196035,66.965,8191.0,8203,2012-05-02 15:45:00
buy,8259,67.1,1479.6070921784933,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2012-05-03 09:25:00,3.2998573780059814,-0.5,FORCE_BUY,,,,8260,2012-05-03 09:30:00
sell,8968,64.21,1479.6070921784933,0.0,5m SELL signal,2012-05-10 04:15:00,1.7941091060638428,1.1999999999999997,FREE,-4276.064496395847,67.1,8259.0,8969,2012-05-10 04:25:00
buy,9008,64.33,1476.8470602950574,0.0,5m BUY signal,2012-05-10 09:40:00,3.9792909622192383,-0.5,FREE,,,,9009,2012-05-10 09:45:00
sell,9087,64.4,1476.8470602950574,0.0,5m SELL signal,2012-05-10 16:15:00,1.563584804534912,1.1999999999999997,FREE,103.37929422066493,64.33,9008.0,9088,2012-05-10 16:20:00
buy,9093,64.07,1484.4537331512677,0.0,5m BUY signal,2012-05-10 16:45:00,4.279878616333008,-0.5,FREE,,,,9094,2012-05-10 16:50:00
sell,9109,64.06,1484.4537331512677,0.0,5m SELL signal,2012-05-10 18:10:00,1.5346944332122803,1.1999999999999997,FREE,-14.844537331499176,64.07,9093.0,9110,2012-05-10 18:15:00
buy,9118,63.99,1486.0776081523709,0.0,5m BUY signal,2012-05-10 19:05:00,4.142942428588867,-0.5,FREE,,,,9119,2012-05-10 19:10:00
sell,10060,61.3,1486.0776081523709,0.0,5m SELL signal,2012-05-21 10:05:00,0.45514386892318726,-0.5,FREE,-3997.5487659298847,63.99,9118.0,10061,2012-05-21 10:10:00
buy,10318,61.99,1469.536334565903,0.0,5m BUY signal,2012-05-23 05:10:00,0.8744248747825623,0.5999999999999996,FREE,,,,10319,2012-05-23 05:15:00
sell,10328,61.9,1469.536334565903,0.0,5m SELL signal,2012-05-23 07:15:00,4.259462356567383,-0.5,FREE,-132.25827011093628,61.99,10318.0,10329,2012-05-23 07:20:00
buy,10341,61.79,1472.1524374434275,0.0,5m BUY signal,2012-05-23 08:20:00,0.7780802845954895,0.5999999999999996,FREE,,,,10342,2012-05-23 08:25:00
sell,10484,62.75,1472.1524374434275,0.0,ADAPTIVE_FORCE_SELL->first acceptable 5m signal,2012-05-24 06:15:00,4.0154290199279785,-0.5,FORCE_SELL,1413.2663399456917,61.79,10341.0,10485,2012-05-24 06:20:00
buy,10663,62.1299,1486.845551812816,0.0,5m BUY signal,2012-05-25 09:40:00,1.2023967504501343,1.0499999999999996,FREE,,,,10664,2012-05-25 09:45:00
sell,10710,62.24,1486.845551812816,0.0,5m SELL signal,2012-05-25 13:35:00,3.1388516426086426,-0.5,FREE,163.70169525459514,62.1299,10663.0,10711,2012-05-25 13:40:00
buy,10731,61.94,1494.0469348535628,0.0,5m BUY signal,2012-05-25 15:20:00,1.0909183025360107,1.0499999999999996,FREE,,,,10732,2012-05-25 15:25:00
sell,10737,62.045,1494.0469348535628,0.0,5m SELL signal,2012-05-25 15:50:00,2.695794105529785,-0.5,FREE,156.87492815963003,61.94,10731.0,10738,2012-05-25 15:55:00
buy,10953,62.03,1494.408223004825,0.0,5m BUY signal,2012-05-30 09:35:00,1.7105008363723755,0.8499999999999996,FREE,,,,10954,2012-05-30 09:40:00
sell,11000,62.335,1494.408223004825,0.0,5m SELL signal,2012-05-30 13:30:00,1.9412304162979126,-0.5,FREE,455.7945080164712,62.03,10953.0,11001,2012-05-30 13:35:00
buy,11020,62.17,1498.3744021393882,0.0,5m BUY signal,2012-05-30 15:10:00,1.5663846731185913,0.8499999999999996,FREE,,,,11021,2012-05-30 15:15:00
sell,11128,61.9757,1498.3744021393882,0.0,5m SELL signal,2012-05-31 12:15:00,1.4897711277008057,-0.5,FREE,-291.13414633568067,62.17,11020.0,11129,2012-05-31 12:20:00
buy,11177,61.9,1500.2068244696297,0.0,5m BUY signal,2012-05-31 16:20:00,1.691765546798706,0.8499999999999996,FREE,,,,11178,2012-05-31 16:25:00
sell,11503,60.62,1500.2068244696297,0.0,5m SELL signal,2012-06-05 04:05:00,2.931246042251587,2.2999999999999994,FREE,-1920.2647353211278,61.9,11177.0,11504,2012-06-05 04:55:00
buy,11568,60.67,1498.9704582058505,0.0,5m BUY signal,2012-06-05 11:55:00,2.4565281867980957,2.3999999999999995,FREE,,,,11569,2012-06-05 12:00:00
sell,11590,60.95,1498.9704582058505,0.0,5m SELL signal,2012-06-05 13:45:00,2.4295003414154053,2.2999999999999994,FREE,419.71172829763987,60.67,11568.0,11591,2012-06-05 13:50:00
buy,11957,61.97,1474.2980382063351,0.0,5m BUY signal,2012-06-08 04:00:00,1.7220706939697266,-0.5,FREE,,,,11958,2012-06-08 04:10:00
sell,11971,62.06,1474.2980382063351,0.0,5m SELL signal,2012-06-08 07:35:00,3.180915594100952,2.499999999999999,FREE,132.6868234385752,61.97,11957.0,11972,2012-06-08 07:40:00
