side,seen_idx,exec_px,qty,fee,reason,ts,pred,th,gate,pnl,entry_px,entry_idx
buy,389374,212.82,469.88065031482006,0.0,ADAPTIVE_FORCE_BUY->first acceptable 5m signal,2020-01-07 18:35:00,1.959498405456543,1.7999999999999994,FORCE_BUY,,,
sell,389406,215.24,469.88065031482006,0.0,5m SELL signal,2020-01-08 05:15:00,1.380636215209961,-0.5,FREE,1137.1111737618721,212.82,389374.0
buy,389426,215.6,469.09606295807924,0.0,5m BUY signal,2020-01-08 07:00:00,2.113084077835083,1.8499999999999996,FREE,,,
sell,389460,216.172,469.09606295807924,0.0,5m SELL signal,2020-01-08 09:50:00,5.489261627197266,-0.5,FREE,268.3229480120226,215.6,389426.0
buy,389470,215.77,469.9700334697775,0.0,5m BUY signal,2020-01-08 10:40:00,2.67414927482605,1.8499999999999996,FREE,,,
sell,389477,216.1213,469.9700334697775,0.0,5m SELL signal,2020-01-08 11:15:00,3.1970667839050293,-0.5,FREE,165.10047275792374,215.77,389470.0
buy,389888,218.74,464.34367099996257,0.0,5m BUY signal,2020-01-10 14:30:00,1.374319076538086,1.2499999999999996,FREE,,,
sell,390308,220.06,464.34367099996257,0.0,5m SELL signal,2020-01-15 04:00:00,2.2846271991729736,1.7999999999999994,FREE,612.9336457199474,218.74,389888.0
buy,390358,220.21,464.0273749614085,0.0,5m BUY signal,2020-01-15 08:40:00,2.798551321029663,2.2499999999999996,FREE,,,
sell,390369,220.7,464.0273749614085,0.0,5m SELL signal,2020-01-15 09:35:00,3.0947253704071045,1.7999999999999994,FREE,227.3734137310812,220.21,390358.0
buy,390408,220.56,464.32191536988955,0.0,5m BUY signal,2020-01-15 12:50:00,2.289743185043335,2.2499999999999996,FREE,,,
sell,390425,220.5694,464.32191536988955,0.0,5m SELL signal,2020-01-15 14:15:00,3.6160452365875244,1.7999999999999994,FREE,4.364626004476687,220.56,390408.0
buy,390439,219.83,465.8836659236106,0.0,5m BUY signal,2020-01-15 15:25:00,2.4156880378723145,2.2499999999999996,FREE,,,
sell,390445,220.16,465.8836659236106,0.0,5m SELL signal,2020-01-15 15:55:00,3.305708885192871,1.7999999999999994,FREE,153.74160975478406,219.83,390439.0
buy,390480,220.68,464.7858795076224,0.0,5m BUY signal,2020-01-15 19:10:00,2.2646312713623047,2.2499999999999996,FREE,,,
sell,391038,224.52,464.7858795076224,0.0,5m SELL signal,2020-01-22 04:00:00,6.424970626831055,2.349999999999999,FREE,1784.7777773092716,220.68,390480.0
